query,target,window,pred,gt,signed_score_pct,direction
Set Count (Window),setting,9,1,0,+100.0,over
Set Count (Window),setting,10,8,4,+33.3,over
Set Count (Window),setting,11,3,15,-66.7,under
Set Count (Window),setting,12,1,0,+100.0,over
Set Count (Window),setting,13,5,0,+100.0,over
Set Count (Window),setting,14,4,0,+100.0,over
Set Count (Window),setting,15,9,0,+100.0,over
Set Count (Window),setting,16,5,2,+42.9,over
Set Count (Window),setting,17,0,18,-100.0,under
Set Count (Window),setting,18,0,0,+0.0,exact
Set Count (Window),setting,19,0,0,+0.0,exact
Set Count (Window),setting,20,0,0,+0.0,exact
Set Count (Window),setting,21,0,0,+0.0,exact
Set Count (Window),setting,22,0,0,+0.0,exact
Set Count (Window),setting,23,0,0,+0.0,exact
Set Count (Window),setting,24,2,0,+100.0,over
Set Count (Window),setting,25,9,18,-33.3,under
Set Count (Window),setting,26,8,2,+60.0,over
Set Count (Window),setting,27,7,0,+100.0,over
Set Count (Window),setting,28,7,0,+100.0,over
Set Count (Window),setting,29,7,16,-39.1,under
Set Count (Window),setting,30,11,4,+46.7,over
Set Count (Window),setting,31,9,0,+100.0,over
Set Count (Window),setting,32,5,0,+100.0,over
Set Count (Window),setting,33,1,0,+100.0,over
Set Count (Window),setting,34,4,0,+100.0,over
Set Count (Window),setting,35,4,13,-52.9,under
Set Count (Window),setting,36,3,7,-40.0,under
Set Count (Window),setting,37,3,0,+100.0,over
Set Count (Window),setting,38,5,0,+100.0,over
Set Count (Window),setting,39,4,0,+100.0,over
Set Count (Window),setting,40,0,0,+0.0,exact
Set Count (Window),setting,41,2,10,-66.7,under
Set Count (Window),setting,42,1,10,-81.8,under
Set Count (Window),setting,43,0,0,+0.0,exact
Set Count (Window),setting,44,1,0,+100.0,over
Set Count (Window),setting,45,1,0,+100.0,over
Set Count (Window),setting,46,0,0,+0.0,exact
Set Count (Window),setting,47,1,0,+100.0,over
Set Count (Window),setting,48,9,0,+100.0,over
Set Count (Window),setting,49,1,0,+100.0,over
Set Count (Window),setting,50,1,0,+100.0,over
Set Count (Window),setting,51,3,0,+100.0,over
Set Count (Window),setting,52,7,0,+100.0,over
